title,cover,price,ebook
我不知道我为什么不知道：左右你行为的动机心理学,http://piccdn.igetget.com/img/201808/29/201808291521209455904685.jpg,31.50,
失控,http://piccdn.igetget.com/img/201607/21/201607211219266878246102.jpg,35.00,http://igetoss.cdn.igetget.com/ebook/201511/28/201511281411200535667128.zip
图解整理术,http://piccdn.igetget.com/img/201609/24/201609241803387767883674.jpg,16.80,http://igetoss.cdn.igetget.com/ebook/201609/24/201609241807437223229991.zip
光变：一个企业及其工业史,http://piccdn.igetget.com/img/201707/02/201707021526341326334569.jpg,23.70,http://igetoss.cdn.igetget.com/ebook/201707/02/201707021533279844247079.zip
简洁的力量,http://piccdn.igetget.com/img/201707/12/201707121230490019349302.jpg,25.00,http://igetoss.cdn.igetget.com/ebook/201707/10/201707101646008138315574.zip
一个甲子的畅想,http://piccdn.igetget.com/img/201707/13/201707131740511677877471.jpg,49.99,
领跑力,http://piccdn.igetget.com/img/201712/15/201712151348311538549099.jpg,33.60,http://igetoss.cdn.igetget.com/ebook/201712/15/201712151400199163412752.zip
礼仪书：得体的行为与正确地行事,http://piccdn.igetget.com/img/201712/25/201712251759424441962618.jpg,12.99,http://igetoss.cdn.igetget.com/ebook/201712/25/201712251806510099021753.zip
不可不知的人性,http://piccdn.igetget.com/img/201802/28/201802281210372688952729.jpg,23.52,
为数据而生：大数据创新实践,http://piccdn.igetget.com/img/201803/16/201803161541414952008902.jpg,14.99,
天才的另一面：霍金,http://piccdn.igetget.com/img/201803/22/201803222203503816656860.jpg,18.39,
伟大创意的诞生：创新自然史,http://piccdn.igetget.com/img/201805/08/201805082320004051588319.jpg,16.99,
大汉王朝的三张脸谱：白脸汉高祖,http://piccdn.igetget.com/img/201805/22/201805221800073412417250.jpg,7.96,
数字经济2.0,http://piccdn.igetget.com/img/201805/28/201805282033581790658327.jpg,17.99,
运营的套路,http://piccdn.igetget.com/img/201805/31/201805310031083652672759.jpg,29.88,
智识分子,http://piccdn.igetget.com/img/201806/17/201806171025555163946768.jpg,22.00,
AI进化论,http://piccdn.igetget.com/img/201806/25/201806251852229838506483.jpg,41.30,
用年表读懂中国历史,http://piccdn.igetget.com/img/201806/26/201806261903272347677306.jpg,11.99,
技术创新简史,http://piccdn.igetget.com/img/201806/28/201806281950083684234034.jpg,33.00,
